no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
0,1,0,0,1,0,1,225,4,-1
1,0,1,1,0,1,1,179,2,-1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,236.0,6.0,3693.11
0,0,0,1,0,1,1,85,3,-1
0,0,0,1,0,0,1,97,4,-1
1,0,0,1,1,0,0,244,7,-1
1,1,0,1,0,0,0,187,7,-1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,78.0,9.0,3657.62
1,0,0,0,1,0,1,136,9,-1
0,0,0,1,1,1,1,115,4,-1
0,0,0,0,0,0,1,201,7,-1
0,1,1,0,0,1,1,132,9,-1
0,0,1,1,1,0,1,69,3,-1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,177.0,7.0,5471.02
1,0,0,1,0,0,0,221,3,-1
1,1,1,0,0,0,0,203,4,-1
0,1,1,0,0,1,0,241,7,-1
0,1,1,1,1,1,0,98,6,-1
0,0,1,0,0,0,1,75,3,-1
1,1,0,1,1,0,1,190,6,-1
1,1,1,1,0,1,0,163,9,-1
1.0,0.0,1.0,0.0,1.0,1.0,1.0,89.0,2.0,5565.85
0,0,1,0,0,0,0,150,4,-1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,214.0,2.0,3664.42
0,1,1,0,0,0,0,200,1,-1
0,1,1,1,0,0,1,78,4,-1
1,0,1,1,1,1,0,236,9,-1
0,1,0,1,1,1,0,246,5,-1
0,0,0,1,0,1,0,85,4,-1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,87.0,6.0,3666.65
1,0,1,0,1,0,0,156,6,-1
1,1,0,1,1,0,1,67,6,-1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,143.0,7.0,5462.36
0,0,1,1,1,1,1,63,1,-1
1,0,0,1,1,0,1,156,4,-1
0,0,1,0,1,0,1,45,2,-1
0,0,1,0,0,0,0,76,8,-1
1,1,1,0,1,1,1,47,7,-1
1,0,1,0,0,0,1,181,3,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,135.0,9.0,5529.93
0,0,0,1,1,1,1,216,4,-1
1,0,0,1,0,0,0,208,2,-1
1,1,0,1,0,1,1,176,9,-1
1,1,0,0,0,1,1,146,8,-1
0,1,1,1,1,1,0,236,4,-1
0,1,1,1,1,1,0,113,3,-1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,208.0,9.0,3663.12
0,1,0,1,1,1,1,167,6,-1
0,1,0,1,0,0,1,170,5,-1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,2.0,5497.76
1,1,0,1,0,1,0,171,1,-1
1,1,1,0,0,1,0,99,8,-1
1,1,0,0,1,0,0,214,2,-1
1,0,0,1,0,0,0,116,7,-1
1,1,0,0,1,0,0,75,3,-1
1,1,0,1,1,1,0,119,5,-1
0,0,1,1,1,1,0,121,3,-1
0,1,1,1,1,1,0,137,4,-1
0,0,1,0,0,0,1,219,1,-1
1,1,0,0,0,1,1,73,6,-1
1,1,0,0,0,1,1,196,2,-1
0,1,0,0,0,1,0,44,7,-1
0,1,0,0,1,0,1,184,7,-1
1,1,1,0,1,0,0,118,3,-1
1,1,1,1,1,0,0,80,3,-1
1,0,1,0,0,0,0,139,5,-1
0,1,1,1,1,0,1,139,1,-1
1,0,1,0,1,0,1,50,8,-1
0,0,0,0,0,0,1,220,4,-1
1,1,0,0,1,1,0,79,5,-1
1,0,1,1,1,1,1,114,9,-1
0,0,1,1,0,0,1,119,8,-1
0,1,0,0,1,1,1,143,1,-1
1,1,0,0,1,1,1,46,3,-1
1,1,0,1,1,0,1,102,3,-1
0,1,0,1,1,0,0,243,5,-1
1,1,1,1,1,0,1,202,2,-1
1,1,0,0,1,0,0,212,5,-1
1,1,1,1,1,0,1,247,9,-1
1,1,0,0,1,1,1,66,3,-1
1,1,1,1,1,0,1,185,4,-1
1,1,1,0,1,1,1,157,4,-1
1,1,0,1,1,1,1,191,9,-1
1,0,1,1,1,0,0,52,7,-1
1,1,1,0,0,0,0,175,7,-1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,88.0,4.0,3678.82
1,1,1,1,1,1,1,84,4,-1
0,1,0,1,1,0,0,162,9,-1
1,1,0,0,0,1,0,191,2,-1
0.0,0.0,0.0,0.0,0.0,1.0,1.0,223.0,9.0,3626.47
0,0,0,1,0,1,0,62,4,-1
1,1,0,0,0,1,1,57,3,-1
1,0,0,1,0,1,0,74,7,-1
0,1,1,0,0,1,0,224,4,-1
0,0,0,0,1,0,1,63,6,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,160.0,1.0,3804.32
1,1,1,1,1,1,1,71,2,-1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,187.0,8.0,5464.44
1,1,0,1,1,1,0,44,7,-1
0,0,0,0,0,0,0,168,6,-1
