no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1,1,0,1,1,1,1,178,6,-1
0,1,0,1,1,1,1,176,9,-1
1,1,0,0,0,0,0,123,8,-1
0,1,1,1,0,0,1,138,2,-1
1,1,1,1,1,0,1,79,1,-1
1,1,0,0,1,0,0,195,4,-1
1,1,1,0,1,0,1,245,8,-1
0,0,0,1,0,1,1,212,3,-1
0,1,1,0,1,1,0,205,5,-1
1,1,0,0,1,0,1,59,5,-1
0,1,0,0,0,1,0,139,4,-1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,173.0,7.0,5535.86
0,0,1,1,0,1,0,197,2,-1
0,1,0,0,0,1,1,157,5,-1
0,0,1,1,0,0,1,97,2,-1
0,1,1,0,0,1,1,124,2,-1
1,1,1,1,0,0,1,164,7,-1
0,1,1,1,0,0,0,159,6,-1
1,1,1,1,1,0,1,199,5,-1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,192.0,4.0,5410.3
1,1,1,1,0,0,1,111,7,-1
0,0,0,1,0,0,0,73,9,-1
0,1,1,0,0,0,1,71,7,-1
1,0,1,0,1,0,1,113,8,-1
1,1,1,0,0,1,0,111,7,-1
1,1,0,1,1,1,0,130,2,-1
0,1,0,1,0,0,0,232,1,-1
0,0,0,1,1,0,1,113,8,-1
0,1,0,1,0,0,0,126,3,-1
1,0,0,1,0,1,1,50,1,-1
0,0,0,1,1,0,1,249,5,-1
1,1,1,1,0,0,1,151,9,-1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,75.0,8.0,5464.44
0,1,1,1,1,0,0,154,8,-1
1,1,1,1,0,0,0,236,7,-1
1,1,1,0,0,1,0,130,8,-1
1,1,1,0,0,0,0,93,1,-1
0,0,0,0,0,0,1,52,4,-1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,161.0,2.0,3712.24
1,0,1,0,0,0,0,201,6,-1
1,1,1,1,1,0,0,198,9,-1
0,1,1,1,0,1,1,192,8,-1
0,0,1,1,0,1,1,152,8,-1
0,1,1,0,0,1,1,196,1,-1
1,0,1,0,1,0,1,154,3,-1
1,0,0,1,0,1,0,149,6,-1
0,1,0,0,1,0,0,81,5,-1
0,1,1,1,1,0,1,170,6,-1
1,0,0,1,0,0,1,119,3,-1
1,0,0,1,1,0,0,103,8,-1
0,0,0,1,0,1,0,130,8,-1
1,1,1,0,0,0,0,65,4,-1
0,1,0,0,1,0,0,217,3,-1
0.0,0.0,0.0,0.0,1.0,1.0,0.0,123.0,9.0,5387.3
0,0,0,0,1,0,1,43,5,-1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,249.0,5.0,5473.93
0,0,0,1,1,0,1,61,3,-1
1,0,0,1,1,0,0,136,6,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,228.0,2.0,3635.85
1,1,0,1,0,1,1,147,9,-1
