no-8x8dct,no-cabac,no-deblock,no-fast-pskip,no-mbtree,no-mixed-refs,no-weightb,rc-lookahead,ref,PERF
1,1,0,1,1,0,1,216,4,-1
0,0,0,0,1,0,1,98,7,-1
1,1,1,0,0,0,0,147,1,-1
1,1,0,0,0,0,0,249,7,-1
0,1,0,1,0,0,1,121,7,-1
0,1,0,1,0,1,0,95,5,-1
0,0,1,0,0,0,1,152,8,-1
1,1,1,0,1,1,1,103,8,-1
1,0,1,1,1,1,1,155,9,-1
0,0,0,1,0,1,0,112,9,-1
1,1,1,0,0,0,1,113,8,-1
1,0,1,1,0,1,0,64,2,-1
0,1,1,1,0,1,0,143,2,-1
1,0,1,0,1,0,0,245,9,-1
0,0,0,1,1,1,1,92,3,-1
0,0,0,0,1,0,1,163,6,-1
0,1,0,1,0,1,1,83,6,-1
0,1,0,0,0,1,1,165,6,-1
0,1,0,1,0,1,1,65,2,-1
0,0,0,1,0,1,1,83,4,-1
0,0,1,1,1,1,1,200,5,-1
0,1,0,0,1,1,1,89,9,-1
1,0,1,1,0,1,1,210,6,-1
0,1,0,0,0,0,1,75,8,-1
0,0,0,1,0,1,1,53,9,-1
1,1,1,0,0,1,1,191,1,-1
0,1,1,1,0,1,0,55,1,-1
0,1,0,1,0,0,0,182,1,-1
1,0,0,1,1,0,1,127,7,-1
1,1,0,1,0,1,1,240,5,-1
1,1,0,0,0,0,0,234,5,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,202.0,2.0,3635.85
0,1,1,0,1,0,1,234,6,-1
1,1,0,0,1,1,0,147,9,-1
1,1,1,0,0,1,1,240,4,-1
0,0,0,1,0,1,1,149,8,-1
0,1,0,1,0,0,0,87,8,-1
0,1,1,0,1,1,1,208,2,-1
0,0,1,0,1,0,0,115,4,-1
1,0,0,1,1,0,0,104,2,-1
1,0,1,1,0,0,0,148,9,-1
0,1,1,0,1,1,0,155,5,-1
1,0,1,1,0,0,0,150,9,-1
1,1,0,0,1,0,0,94,8,-1
1.0,0.0,1.0,0.0,0.0,1.0,1.0,210.0,5.0,3693.69
1.0,0.0,0.0,0.0,1.0,1.0,1.0,214.0,5.0,5473.93
1,1,1,1,0,1,1,223,9,-1
1,0,0,1,1,1,0,169,8,-1
1,1,1,1,1,0,1,127,7,-1
1,1,1,0,0,1,0,77,7,-1
0,0,0,1,0,0,0,177,8,-1
