replBacklogSize,hashMaxZiplistValue,hashMaxZiplistEntries,listMaxZiplistSize,activeDefragIgnoreBytes,activeDefragThresholdLower,replDisableTcpNodelay,hllSparseMaxBytes,hz,PERF
3,84,540,-3,225,6,no,4187,131,-1
3,128,617,-2,195,15,no,3174,435,-1
6.0,103.0,772.0,-5.0,252.0,14.0,no,155.0,434.0,76865.4609375
6.0,101.0,931.0,-2.0,284.0,11.0,yes,2223.0,469.0,76878.578125
10.0,41.0,360.0,-4.0,293.0,12.0,yes,1505.0,255.0,76888.078125
5,66,705,-3,281,15,yes,4282,496,-1
8.0,48.0,917.0,-1.0,281.0,14.0,yes,1056.0,417.0,76972.296875
7.0,59.0,305.0,-2.0,298.0,6.0,yes,2052.0,76.0,76803.5625
4,106,926,-5,223,6,yes,1655,441,-1
11.0,81.0,1023.0,-4.0,115.0,14.0,no,987.0,205.0,79010.0546875
7,47,289,-2,163,19,yes,1889,231,-1
6.0,94.0,713.0,-3.0,224.0,19.0,yes,2156.0,361.0,80129.71875
3,61,1007,-3,210,5,no,2900,11,-1
7,93,302,-2,193,15,no,3535,370,-1
1,38,775,-1,150,12,yes,1600,183,-1
4,67,713,-4,175,17,no,2846,369,-1
4,53,873,-4,137,12,yes,509,162,-1
4,112,593,-2,134,10,yes,4424,227,-1
3,44,663,-4,261,18,no,1393,405,-1
7,109,521,-4,158,17,no,1732,209,-1
5,71,963,-4,101,19,yes,4935,218,-1
11.0,121.0,427.0,-2.0,267.0,15.0,yes,1445.0,172.0,78523.2578125
3,39,708,-4,262,6,yes,3469,463,-1
10.0,118.0,699.0,-5.0,249.0,8.0,no,3314.0,263.0,77115.4140625
5,122,726,-4,150,18,no,3912,177,-1
3,83,883,-4,258,19,yes,4117,5,-1
7,115,294,-4,154,13,no,2365,389,-1
1,37,353,-5,114,20,yes,431,252,-1
4,62,526,-2,217,10,no,1644,63,-1
7,101,548,-5,136,11,yes,3913,191,-1
9,92,587,-4,199,16,no,3471,231,-1
3,83,790,-5,185,11,yes,4682,188,-1
10,108,457,-3,125,17,yes,4437,397,-1
8.0,102.0,689.0,-5.0,218.0,5.0,no,3872.0,23.0,68685.5703125
2,42,932,-4,105,18,no,4220,338,-1
9,123,701,-2,107,17,yes,3576,54,-1
8.0,122.0,303.0,-4.0,213.0,17.0,no,899.0,126.0,78175.171875
7,104,558,-4,179,10,no,416,251,-1
11.0,72.0,830.0,-4.0,238.0,16.0,yes,2585.0,243.0,77271.7265625
7.0,118.0,371.0,-5.0,250.0,19.0,yes,2215.0,360.0,70954.203125
3,58,409,-3,163,8,yes,4767,149,-1
8,72,912,-3,153,8,no,2397,192,-1
3,67,503,-2,129,20,no,2995,235,-1
9.0,111.0,684.0,-3.0,244.0,18.0,no,3668.0,481.0,77888.3671875
6.0,54.0,436.0,-2.0,235.0,19.0,yes,1210.0,96.0,77784.90625
4,50,797,-2,280,9,yes,1567,213,-1
8,40,327,-2,158,10,yes,3378,4,-1
4,74,629,-4,217,19,no,2722,61,-1
4,96,342,-1,282,6,yes,1871,387,-1
9.0,60.0,775.0,-2.0,261.0,9.0,yes,4807.0,337.0,76741.75
6.0,43.0,635.0,-4.0,244.0,15.0,yes,910.0,324.0,76375.4921875
7,49,939,-2,125,19,no,1658,361,-1
7,85,753,-3,162,8,no,3579,378,-1
6,103,532,-4,177,18,no,2524,125,-1
9.0,66.0,512.0,-3.0,208.0,17.0,no,4234.0,57.0,77147.3203125
4,42,343,-2,245,8,no,2083,373,-1
9,104,711,-4,180,8,yes,2842,102,-1
4,107,279,-2,278,19,no,2763,293,-1
7.0,126.0,783.0,-4.0,272.0,12.0,yes,3634.0,2.0,68645.5078125
9,96,634,-3,192,8,yes,185,251,-1
7.0,75.0,691.0,-1.0,278.0,7.0,yes,3116.0,26.0,77032.421875
5,54,316,-3,286,10,yes,3473,68,-1
10.0,90.0,968.0,-2.0,248.0,10.0,yes,4659.0,432.0,76539.9375
