StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
2.0,8.0,17.0,255.0,495.0,4005.612060546875
5.0,6.0,18.0,94.0,28.0,4432.3310546875
8,4,17,3,445,-1
7,3,19,901,30,-1
1,5,19,381,216,-1
4,1,12,438,495,-1
3,3,12,460,289,-1
1,8,16,642,185,-1
9.0,8.0,12.0,333.0,721.0,4234.83056640625
7.0,9.0,14.0,830.0,670.0,4196.4296875
3.0,6.0,18.0,846.0,505.0,3960.357177734375
6,1,13,797,414,-1
2,5,17,674,374,-1
4,5,18,521,393,-1
5,1,11,703,983,-1
6,4,12,502,982,-1
7,5,18,232,513,-1
9.0,6.0,15.0,270.0,547.0,4066.86767578125
9,1,18,820,886,-1
7,8,15,561,426,-1
1.0,8.0,16.0,200.0,504.0,4030.711669921875
5,4,14,538,623,-1
6,5,11,230,177,-1
6.0,8.0,18.0,797.0,816.0,4174.703125
3,8,17,84,16,-1
1.0,7.0,13.0,110.0,624.0,4195.32177734375
4,1,12,527,168,-1
3,7,15,322,473,-1
1,4,14,188,108,-1
9,5,12,606,817,-1
1,1,12,719,160,-1
7.0,7.0,15.0,221.0,975.0,4126.0400390625
8,5,13,648,394,-1
6,3,16,59,298,-1
9,8,13,858,310,-1
9,7,14,253,8,-1
8,1,18,962,570,-1
2.0,8.0,19.0,704.0,508.0,4121.830078125
4,4,12,674,432,-1
2,1,16,296,499,-1
3,8,19,19,200,-1
3,9,18,339,213,-1
7.0,8.0,19.0,344.0,882.0,4022.466552734375
7,5,19,235,725,-1
1,2,19,213,759,-1
6,8,14,340,291,-1
8,6,19,887,135,-1
5,1,11,74,866,-1
8.0,8.0,14.0,615.0,781.0,4339.9677734375
4,6,13,82,266,-1
9,6,19,458,277,-1
8,8,11,670,91,-1
2.0,8.0,11.0,240.0,988.0,4396.38916015625
4,2,12,242,744,-1
1.0,9.0,14.0,970.0,909.0,4082.154296875
3,3,15,101,652,-1
1,1,19,296,596,-1
5,3,11,913,969,-1
9,2,12,618,979,-1
5.0,7.0,16.0,259.0,541.0,3987.674560546875
3,3,11,281,983,-1
5,6,16,940,390,-1
3,3,13,847,893,-1
3,4,15,579,595,-1
3,1,13,73,551,-1
1,1,16,291,792,-1
5.0,8.0,12.0,501.0,794.0,4334.14306640625
1.0,9.0,12.0,776.0,984.0,4364.9189453125
8,3,11,514,919,-1
3,9,12,910,31,-1
3.0,9.0,18.0,907.0,840.0,4173.79931640625
7,7,12,433,157,-1
7.0,7.0,13.0,65.0,963.0,4104.0087890625
8,5,15,851,453,-1
4,4,13,25,646,-1
4,6,11,355,138,-1
2,3,18,398,401,-1
6,3,11,529,500,-1
6,4,17,731,238,-1
5,5,13,412,560,-1
9,9,13,646,48,-1
1,5,18,160,766,-1
8,3,17,849,371,-1
7.0,7.0,16.0,856.0,896.0,4378.591796875
9,6,12,251,217,-1
6.0,7.0,11.0,681.0,717.0,4373.3935546875
4,5,12,730,40,-1
9.0,8.0,16.0,268.0,912.0,3920.978271484375
9,2,17,842,659,-1
7,5,19,971,382,-1
8,4,12,326,126,-1
9,9,12,601,408,-1
2,3,13,749,4,-1
2,4,11,627,605,-1
8,2,13,542,273,-1
6,3,17,791,808,-1
9,5,15,855,769,-1
6,4,13,109,807,-1
2.0,7.0,15.0,964.0,761.0,3936.883056640625
9,2,15,573,311,-1
