StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
3,5,14,604,625,-1
1,1,18,260,234,-1
9,5,18,476,639,-1
2.0,6.0,18.0,523.0,741.0,4188.095703125
7,1,17,591,301,-1
1.0,8.0,15.0,719.0,878.0,4409.671875
7,9,14,801,444,-1
9,8,11,136,216,-1
9,4,16,301,507,-1
4,4,16,584,904,-1
7.0,9.0,18.0,990.0,671.0,3869.8837890625
2.0,8.0,19.0,904.0,569.0,4000.975830078125
7,2,18,573,284,-1
1.0,8.0,19.0,89.0,800.0,4282.1474609375
4,2,13,769,872,-1
1,6,11,718,330,-1
8,9,15,998,309,-1
1,6,11,198,407,-1
6,2,11,867,313,-1
9.0,9.0,14.0,460.0,520.0,4289.99609375
6.0,6.0,16.0,620.0,940.0,4356.89453125
5,4,17,238,301,-1
9,5,15,12,415,-1
6,1,16,632,60,-1
6,5,17,353,706,-1
7,1,11,676,963,-1
3,5,16,320,363,-1
3,4,16,301,377,-1
7,1,16,735,310,-1
3,8,13,188,435,-1
7,1,13,334,833,-1
4.0,8.0,12.0,337.0,650.0,4210.408203125
8,5,13,121,529,-1
2,8,18,184,278,-1
8,6,18,345,129,-1
3,8,13,347,416,-1
4,4,19,156,4,-1
9.0,8.0,19.0,434.0,950.0,4097.078125
9,2,17,836,662,-1
5,3,14,228,68,-1
6,3,18,46,903,-1
7.0,9.0,19.0,899.0,576.0,3875.05712890625
1.0,7.0,12.0,300.0,662.0,4349.83935546875
5,4,19,612,341,-1
3,8,15,782,351,-1
2,5,18,172,791,-1
9.0,8.0,18.0,8.0,628.0,3799.99365234375
8,1,13,269,527,-1
4,5,17,2,54,-1
2,2,11,974,854,-1
1,5,13,315,351,-1
6,6,14,191,328,-1
2,5,17,380,79,-1
2,4,16,782,380,-1
8,6,14,373,496,-1
7,4,17,461,245,-1
5,7,11,425,425,-1
8.0,9.0,14.0,897.0,790.0,4328.35009765625
3,5,12,813,662,-1
8.0,8.0,17.0,734.0,563.0,4060.246337890625
1.0,6.0,11.0,144.0,774.0,4375.1630859375
1,1,11,880,179,-1
1.0,8.0,12.0,844.0,673.0,4067.76611328125
8,9,16,798,36,-1
7,5,17,107,748,-1
9,1,13,564,828,-1
3,2,13,616,753,-1
4,4,14,350,418,-1
1,5,19,413,747,-1
2.0,7.0,17.0,674.0,517.0,4136.17578125
5,6,19,150,95,-1
7.0,9.0,15.0,443.0,718.0,4232.8798828125
2,3,12,586,314,-1
3.0,7.0,19.0,296.0,705.0,4132.396484375
4,8,16,267,217,-1
1,5,14,173,360,-1
3,7,12,991,479,-1
6,5,18,821,557,-1
5.0,7.0,18.0,400.0,733.0,4093.352783203125
9,5,13,235,717,-1
7,9,18,242,189,-1
3,2,17,858,899,-1
3.0,8.0,13.0,423.0,728.0,4327.8310546875
1,1,18,292,356,-1
6,7,11,335,436,-1
5,2,16,955,390,-1
5,2,13,665,112,-1
8,9,11,941,374,-1
7.0,7.0,13.0,676.0,654.0,4354.7353515625
8,3,17,961,672,-1
5,2,15,352,718,-1
7.0,6.0,12.0,646.0,630.0,4381.79296875
2.0,9.0,16.0,124.0,931.0,4408.884765625
2,3,17,597,554,-1
6,5,13,177,68,-1
7,7,15,739,359,-1
3,4,18,43,504,-1
3,7,14,333,403,-1
5,7,14,847,112,-1
3,1,12,779,727,-1
2,2,14,743,815,-1
7,6,12,399,193,-1
5.0,6.0,12.0,250.0,781.0,4207.2578125
1,8,19,949,383,-1
5.0,6.0,16.0,976.0,686.0,4035.4384765625
3.0,8.0,15.0,601.0,726.0,4336.81396484375
1.0,7.0,16.0,492.0,523.0,4158.181640625
5,2,15,38,500,-1
6,4,16,959,892,-1
2,8,16,51,359,-1
3,1,15,929,323,-1
8.0,7.0,12.0,858.0,601.0,4304.7099609375
9.0,7.0,17.0,344.0,806.0,4046.54150390625
9,8,14,757,485,-1
1,1,11,201,160,-1
5.0,7.0,15.0,422.0,649.0,4197.7705078125
3,5,17,402,180,-1
9.0,7.0,14.0,371.0,529.0,4274.2138671875
6,3,11,209,783,-1
2,5,12,210,170,-1
4,2,11,110,168,-1
5,1,11,448,407,-1
7,1,14,397,26,-1
9,2,11,475,164,-1
6,4,12,52,727,-1
3,8,15,932,300,-1
3,3,18,629,344,-1
1,7,19,592,3,-1
1,1,12,37,53,-1
6,9,12,973,476,-1
8,9,19,35,304,-1
6.0,9.0,11.0,294.0,849.0,4231.8515625
2,4,14,680,928,-1
2.0,7.0,17.0,835.0,553.0,4029.56884765625
9,4,14,230,779,-1
5,3,12,720,605,-1
7,4,15,154,710,-1
1,5,17,677,97,-1
3.0,8.0,16.0,878.0,872.0,4232.38037109375
5,9,17,334,370,-1
1,4,19,105,568,-1
1,1,16,241,48,-1
2,6,16,12,229,-1
9,2,16,420,781,-1
6,8,15,188,177,-1
1.0,8.0,12.0,24.0,966.0,4373.8359375
2,9,11,465,222,-1
8.0,6.0,16.0,761.0,871.0,4401.3486328125
4.0,6.0,15.0,111.0,835.0,4255.1220703125
6,8,12,539,464,-1
7,1,14,485,71,-1
5.0,7.0,14.0,648.0,605.0,4227.4365234375
2,4,19,335,430,-1
1,2,12,931,726,-1
8.0,9.0,16.0,931.0,535.0,4003.735595703125
4,9,19,949,484,-1
7,4,19,920,292,-1
9,2,11,722,294,-1
5,6,11,745,275,-1
4,4,17,747,287,-1
1,3,14,78,153,-1
7.0,7.0,19.0,979.0,876.0,4194.3466796875
4,2,13,463,525,-1
5,4,18,285,463,-1
8.0,8.0,13.0,243.0,806.0,4001.597900390625
1,2,15,536,165,-1
1,2,17,466,979,-1
8,9,11,185,13,-1
4,4,11,546,93,-1
3,3,18,418,260,-1
1,4,16,675,912,-1
8,3,12,758,789,-1
5,8,15,280,168,-1
1,6,19,906,467,-1
6,9,18,603,414,-1
5,2,12,684,992,-1
5,4,14,455,802,-1
5.0,9.0,12.0,315.0,521.0,4158.7490234375
4.0,8.0,18.0,931.0,612.0,3915.01806640625
1,6,15,488,279,-1
7,9,11,669,371,-1
5,9,19,643,195,-1
9,2,14,828,316,-1
3,9,19,318,392,-1
3,2,13,980,79,-1
3,2,11,526,743,-1
8,6,18,6,282,-1
9,1,13,483,267,-1
5,1,13,957,144,-1
9,2,19,674,646,-1
2,1,17,176,189,-1
8.0,8.0,11.0,960.0,534.0,4187.51904296875
4,1,14,987,280,-1
2,2,12,353,914,-1
1,2,19,996,979,-1
3,4,19,485,703,-1
3,1,14,748,781,-1
6,5,15,442,534,-1
8,2,16,932,848,-1
2,9,18,168,265,-1
